id_without_addr_or_v,dir
0712.3665,0712
0712.3662,0712
0712.3507,0712
0712.3205,0712
0712.3035,0712
0712.3026,0712
0712.3007,0712
0712.1804,0712
0712.2871,0712
0712.2749,0712
0712.2645,0712
0712.2597,0712
0712.2582,0712
0712.2537,0712
0712.4255,0712
0712.2253,0712
0712.2244,0712
0712.2201,0712
0712.2143,0712
0712.2075,0712
0712.2792,0712
0712.4305,0712
0712.2021,0712
0801.2987,0801
0801.2577,0801
0801.2525,0801
0801.2524,0801
0801.2322,0801
0801.2021,0801
0801.1993,0801
0801.1876,0801
0801.1698,0801
0801.1656,0801
0801.1655,0801
0801.1652,0801
0801.1612,0801
0801.1608,0801
0801.1607,0801
0801.1600,0801
0801.1591,0801
0801.1584,0801
0801.1478,0801
0801.1319,0801
0801.1260,0801
0801.0812,0801
0801.0751,0801
0801.0728,0801
0801.2582,0801
0801.2632,0801
0801.2662,0801
0801.2797,0801
0801.2988,0801
0801.4966,0801
0801.4835,0801
0801.4822,0801
0801.4741,0801
0801.4699,0801
0801.4662,0801
0801.4439,0801
0801.4404,0801
0801.4393,0801
0801.4392,0801
0801.0709,0801
0801.4181,0801
0801.4113,0801
0801.4007,0801
0801.3985,0801
0801.3792,0801
0801.3788,0801
0801.3706,0801
0801.3642,0801
0801.3310,0801
0801.3103,0801
0801.3013,0801
0801.3008,0801
0801.4114,0801
0801.0679,0801
0801.1981,0801
0801.0621,0801
0801.0833,0801
0801.0873,0801
0801.0939,0801
0801.0963,0801
0801.1036,0801
0801.1097,0801
0801.1114,0801
0801.1239,0801
0801.1390,0801
0801.1483,0801
0801.1538,0801
0801.0798,0801
0801.1744,0801
0801.1976,0801
0801.2010,0801
0801.2179,0801
0801.0665,0801
0801.2384,0801
0801.2404,0801
0801.2412,0801
0801.2443,0801
0801.2597,0801
0801.2845,0801
0801.2939,0801
0801.1788,0801
0801.0658,0801
0801.2256,0801
0801.0568,0801
0801.0558,0801
0801.0579,0801
0801.0556,0801
0801.0495,0801
0801.0233,0801
0801.0080,0801
0801.0059,0801
0801.0055,0801
0801.0001,0801
0801.4928,0801
0801.4884,0801
0801.4432,0801
0801.0395,0801
0801.4037,0801
0801.4069,0801
0801.0394,0801
0801.0270,0801
0801.0120,0801
